replication_id,oracle_region,baseline_method,tail_minus_baseline_regret_cny_per_month
169,Actual-demand,EMP,-2243.839408546065
170,Actual-demand,EMP,0.0
171,Actual-demand,EMP,-2243.839408546065
172,Actual-demand,EMP,0.0
173,Actual-demand,EMP,0.0
174,Actual-demand,EMP,0.0
175,Actual-demand,EMP,-2243.839408546066
176,Actual-demand,EMP,2243.839408546066
177,Actual-demand,EMP,0.0
178,Actual-demand,EMP,0.0
179,Actual-demand,EMP,0.0
180,Actual-demand,EMP,-2034.7560559116937
181,Actual-demand,EMP,0.0
182,Actual-demand,EMP,-14355.614962200323
183,Actual-demand,EMP,0.0
184,Actual-demand,EMP,0.0
185,Actual-demand,EMP,0.0
186,Actual-demand,EMP,0.0
187,Actual-demand,EMP,-2243.839408546065
188,Actual-demand,EMP,0.0
189,Actual-demand,EMP,2243.839408546065
190,Actual-demand,EMP,0.0
191,Actual-demand,EMP,0.0
192,Actual-demand,EMP,0.0
193,Actual-demand,EMP,-2243.839408546065
194,Actual-demand,EMP,0.0
195,Actual-demand,EMP,-2243.839408546066
196,Actual-demand,EMP,0.0
197,Actual-demand,EMP,-14355.614962200323
198,Actual-demand,EMP,0.0
199,Actual-demand,EMP,14355.614962200323
0,Capacity,KDE,-5678.3230651104805
1,Capacity,KDE,0.0
2,Capacity,KDE,29449.895845573395
3,Capacity,KDE,0.0
4,Capacity,KDE,-849.6145663335919
5,Capacity,KDE,-14088.168440200076
6,Capacity,KDE,-14127.748058038453
7,Capacity,KDE,0.0
8,Capacity,KDE,23098.02028559614
9,Capacity,KDE,-5409.658237316649
10,Capacity,KDE,28467.296212573536
11,Capacity,KDE,27689.360379240785
12,Capacity,KDE,-5530.279240122065
13,Capacity,KDE,9782.221268856898
14,Capacity,KDE,736.7905807917305
15,Capacity,KDE,0.0
16,Capacity,KDE,0.0
17,Capacity,KDE,-42160.75995272864
18,Capacity,KDE,-2019.1025172611696
19,Capacity,KDE,772.8414905993268
20,Capacity,KDE,0.0
21,Capacity,KDE,200599.9497636631
22,Capacity,KDE,24740.3112901086
23,Capacity,KDE,0.0
24,Capacity,KDE,5194.840017909493
25,Capacity,KDE,0.0
26,Capacity,KDE,-6348.433669265669
27,Capacity,KDE,-42160.75995272864
28,Capacity,KDE,0.0
29,Capacity,KDE,0.0
30,Capacity,KDE,-2959.306769785469
31,Capacity,KDE,7743.580360873282
32,Capacity,KDE,97.3294812804088
33,Capacity,KDE,859.8614130948336
34,Capacity,KDE,0.0
35,Capacity,KDE,0.0
36,Capacity,KDE,0.0
37,Capacity,KDE,0.0
38,Capacity,KDE,0.0
39,Capacity,KDE,0.0
40,Capacity,KDE,0.0
41,Capacity,KDE,1257.0363599381708
42,Capacity,KDE,39993.24666476064
43,Capacity,KDE,0.0
44,Capacity,KDE,195194.05269292303
45,Capacity,KDE,0.0
46,Capacity,KDE,0.0
47,Capacity,KDE,0.0
48,Capacity,KDE,0.0
49,Capacity,KDE,-25210.959326418728
50,Capacity,KDE,0.0
51,Capacity,KDE,0.0
52,Capacity,KDE,54587.60265169229
53,Capacity,KDE,0.0
54,Capacity,KDE,-42160.75995272864
55,Capacity,KDE,-15385.85938187068
56,Capacity,KDE,20938.92405521061
57,Capacity,KDE,22662.44314674319
58,Capacity,KDE,0.0
59,Capacity,KDE,0.0
60,Capacity,KDE,0.0
61,Capacity,KDE,0.0
62,Capacity,KDE,0.0
63,Capacity,KDE,-14762.466049195267
64,Capacity,KDE,0.0
65,Capacity,KDE,-16116.8153572126
66,Capacity,KDE,4991.820563286543
67,Capacity,KDE,0.0
68,Capacity,KDE,0.0
69,Capacity,KDE,-14196.356278767807
70,Capacity,KDE,0.0
71,Capacity,KDE,9918.55989583768
72,Capacity,KDE,4695.54948350662
73,Capacity,KDE,0.0
74,Capacity,KDE,-299.7523075469471
75,Capacity,KDE,3965.102162775271
76,Capacity,KDE,832.1807350286581
77,Capacity,KDE,0.0
78,Capacity,KDE,-17955.867557434056
79,Capacity,KDE,0.0
80,Capacity,KDE,-2480.2098881366364
81,Capacity,KDE,23040.83084428807
82,Capacity,KDE,1538.643991109915
83,Capacity,KDE,24025.15365845089
84,Capacity,KDE,8433.737859119972
85,Capacity,KDE,0.0
86,Capacity,KDE,0.0
87,Capacity,KDE,10711.632590041498
88,Capacity,KDE,24083.18152369124
89,Capacity,KDE,-12695.22918094322
90,Capacity,KDE,-14126.511663285086
91,Capacity,KDE,-1862.349644573096
92,Capacity,KDE,202487.5640521465
93,Capacity,KDE,9333.821795494589
94,Capacity,KDE,0.0
95,Capacity,KDE,0.0
96,Capacity,KDE,0.0
97,Capacity,KDE,-16250.613187018467
98,Capacity,KDE,0.0
99,Capacity,KDE,-33730.71687656175
100,Capacity,KDE,-14072.109749468043
101,Capacity,KDE,10917.67044948228
102,Capacity,KDE,-18002.526718149584
103,Capacity,KDE,0.0
104,Capacity,KDE,2615.5780266815163
105,Capacity,KDE,5275.106921176735
106,Capacity,KDE,1582.409098844044
107,Capacity,KDE,38.011318696662784
108,Capacity,KDE,23108.62022250177
109,Capacity,KDE,13641.890800598698
110,Capacity,KDE,25372.217815593816
111,Capacity,KDE,-8.221995986375987
112,Capacity,KDE,0.0
113,Capacity,KDE,8373.73482082908
114,Capacity,KDE,0.0
115,Capacity,KDE,0.0
116,Capacity,KDE,-11751.315553266557
117,Capacity,KDE,0.0
118,Capacity,KDE,0.0
119,Capacity,KDE,0.0
120,Capacity,KDE,26742.1840638093
121,Capacity,KDE,0.0
122,Capacity,KDE,0.0
123,Capacity,KDE,2854.762935636565
124,Capacity,KDE,759.7019501735158
125,Capacity,KDE,-42160.75995272864
126,Capacity,KDE,4454.541954211891
127,Capacity,KDE,0.0
128,Capacity,KDE,0.0
129,Capacity,KDE,11226.64003329786
130,Capacity,KDE,0.0
131,Capacity,KDE,-477.1878677125424
132,Capacity,KDE,-21012.35657535307
133,Capacity,KDE,-14267.58085061144
134,Capacity,KDE,0.0
135,Capacity,KDE,0.0
136,Capacity,KDE,0.0
137,Capacity,KDE,1809.8810950657355
138,Capacity,KDE,0.0
139,Capacity,KDE,8453.956956055947
140,Capacity,KDE,22628.53505218681
141,Capacity,KDE,201712.66915899827
142,Capacity,KDE,4585.319884893484
143,Capacity,KDE,0.0
144,Capacity,KDE,191874.3485355787
145,Capacity,KDE,-42160.75995272864
146,Capacity,KDE,0.0
147,Capacity,KDE,3957.681965859916
148,Capacity,KDE,0.0
149,Capacity,KDE,-13633.182961469516
150,Capacity,KDE,-13209.613330036093
151,Capacity,KDE,0.0
152,Capacity,KDE,-1683.997839851927
153,Capacity,KDE,-2290.541894999329
154,Capacity,KDE,0.0
155,Capacity,KDE,0.0
156,Capacity,KDE,0.0
157,Capacity,KDE,-1879.168520345044
158,Capacity,KDE,-18939.484555693965
159,Capacity,KDE,774.2158208200708
160,Capacity,KDE,28963.37326226692
161,Capacity,KDE,0.0
162,Capacity,KDE,0.0
163,Capacity,KDE,0.0
164,Capacity,KDE,0.0
165,Capacity,KDE,24468.51139020485
166,Capacity,KDE,0.0
167,Capacity,KDE,3915.4693346768618
168,Capacity,KDE,0.0
169,Capacity,KDE,-1148.9801820426585
170,Capacity,KDE,223.884606628988
171,Capacity,KDE,-17773.03121896119
172,Capacity,KDE,0.0
173,Capacity,KDE,10085.50113842916
174,Capacity,KDE,180504.52314492533
175,Capacity,KDE,0.0
176,Capacity,KDE,0.0
177,Capacity,KDE,-16941.132886370335
178,Capacity,KDE,11370.455620200995
179,Capacity,KDE,24172.435022305697
180,Capacity,KDE,0.0
181,Capacity,KDE,0.0
182,Capacity,KDE,0.0
183,Capacity,KDE,0.0
184,Capacity,KDE,4863.430723517515
185,Capacity,KDE,2183.0619588829577
186,Capacity,KDE,-19191.414709499728
187,Capacity,KDE,6594.647079054575
188,Capacity,KDE,0.0
189,Capacity,KDE,-8699.29583901912
190,Capacity,KDE,1293.93517823828
191,Capacity,KDE,2148.5776574431584
192,Capacity,KDE,-3843.0617105243728
193,Capacity,KDE,-8715.666442772994
194,Capacity,KDE,548.3537833224982
195,Capacity,KDE,0.0
196,Capacity,KDE,-12730.088914617896
197,Capacity,KDE,36968.0099120702
198,Capacity,KDE,301.48516126628965
199,Capacity,KDE,0.0
0,Capacity,EMP,-16783.758844449185
1,Capacity,EMP,0.0
2,Capacity,EMP,40948.283012030646
3,Capacity,EMP,0.0
4,Capacity,EMP,-1080.9445350312926
5,Capacity,EMP,-16735.38699314961
6,Capacity,EMP,-22574.26874984925
7,Capacity,EMP,0.0
8,Capacity,EMP,-467.123212669354
9,Capacity,EMP,-31791.67823529989
10,Capacity,EMP,17811.29572788036
11,Capacity,EMP,27689.360379240785
12,Capacity,EMP,-14429.16375610108
13,Capacity,EMP,-34038.22964561544
14,Capacity,EMP,-1992.523518631548
15,Capacity,EMP,0.0
16,Capacity,EMP,-8449.702278785096
17,Capacity,EMP,-33904.77084767601
18,Capacity,EMP,-5330.761938335065
19,Capacity,EMP,328.72689919390905
20,Capacity,EMP,-18539.26765799088
21,Capacity,EMP,184643.834449146
22,Capacity,EMP,-11949.05375103528
23,Capacity,EMP,0.0
24,Capacity,EMP,3708.583994075656
25,Capacity,EMP,0.0
26,Capacity,EMP,-227705.93294781385
27,Capacity,EMP,-32804.75007368686
28,Capacity,EMP,0.0
29,Capacity,EMP,0.0
30,Capacity,EMP,-2451.7157454239205
31,Capacity,EMP,32147.371480593458
32,Capacity,EMP,-757.7911438675001
33,Capacity,EMP,-244372.088653073
34,Capacity,EMP,0.0
35,Capacity,EMP,0.0
36,Capacity,EMP,0.0
37,Capacity,EMP,0.0
38,Capacity,EMP,-8628.95095957971
39,Capacity,EMP,0.0
40,Capacity,EMP,0.0
41,Capacity,EMP,-5847.500915179651
42,Capacity,EMP,19983.22505282549
43,Capacity,EMP,0.0
44,Capacity,EMP,176684.71287907223
45,Capacity,EMP,0.0
46,Capacity,EMP,0.0
47,Capacity,EMP,-8427.957746203989
48,Capacity,EMP,0.0
49,Capacity,EMP,-30835.739339218795
50,Capacity,EMP,0.0
51,Capacity,EMP,0.0
52,Capacity,EMP,23090.527474341885
53,Capacity,EMP,0.0
54,Capacity,EMP,-42160.75995272864
55,Capacity,EMP,-15671.88906216187
56,Capacity,EMP,-25648.47247221073
57,Capacity,EMP,22662.44314674319
58,Capacity,EMP,0.0
59,Capacity,EMP,0.0
60,Capacity,EMP,-9218.186858795272
61,Capacity,EMP,0.0
62,Capacity,EMP,-39971.01357614963
63,Capacity,EMP,-18764.83598103281
64,Capacity,EMP,-17385.383172422025
65,Capacity,EMP,-7799.117831911895
66,Capacity,EMP,-10939.760718431631
67,Capacity,EMP,-8690.55723983453
68,Capacity,EMP,-13105.070827685917
69,Capacity,EMP,-14998.686497620614
70,Capacity,EMP,0.0
71,Capacity,EMP,1431.1693986613936
72,Capacity,EMP,7670.751726998627
73,Capacity,EMP,0.0
74,Capacity,EMP,-420.709122031305
75,Capacity,EMP,-6473.454593188129
76,Capacity,EMP,-11244.939427533807
77,Capacity,EMP,0.0
78,Capacity,EMP,-2331.2943153896704
79,Capacity,EMP,-10986.832592266925
80,Capacity,EMP,-1261.1388576921709
81,Capacity,EMP,23040.83084428807
82,Capacity,EMP,-191831.52900482345
83,Capacity,EMP,24025.15365845089
84,Capacity,EMP,8433.737859119972
85,Capacity,EMP,-22658.92714867461
86,Capacity,EMP,0.0
87,Capacity,EMP,10711.632590041498
88,Capacity,EMP,10079.727286889529
89,Capacity,EMP,-12695.22918094322
90,Capacity,EMP,-18705.77423880188
91,Capacity,EMP,-232.5620225779712
92,Capacity,EMP,2037.6057701924287
93,Capacity,EMP,14989.145012047142
94,Capacity,EMP,0.0
95,Capacity,EMP,0.0
96,Capacity,EMP,0.0
97,Capacity,EMP,-14787.009792597342
98,Capacity,EMP,0.0
99,Capacity,EMP,-19713.490330253106
100,Capacity,EMP,-16351.659626165096
101,Capacity,EMP,13026.199928222846
102,Capacity,EMP,-10972.404416288871
103,Capacity,EMP,0.0
104,Capacity,EMP,3335.7011935900264
105,Capacity,EMP,5450.972857220408
106,Capacity,EMP,610.044398439426
107,Capacity,EMP,-454.4163287716583
108,Capacity,EMP,23108.62022250177
109,Capacity,EMP,12043.53660028707
110,Capacity,EMP,25372.217815593816
111,Capacity,EMP,-764.2159414157904
112,Capacity,EMP,0.0
113,Capacity,EMP,9025.844834457772
114,Capacity,EMP,0.0
115,Capacity,EMP,0.0
116,Capacity,EMP,-8771.560413568592
117,Capacity,EMP,0.0
118,Capacity,EMP,-8478.37445027226
119,Capacity,EMP,0.0
120,Capacity,EMP,14006.6578596731
121,Capacity,EMP,0.0
122,Capacity,EMP,-9245.788670752818
123,Capacity,EMP,3643.520480817184
124,Capacity,EMP,-1699.024152589962
125,Capacity,EMP,-22567.26376445529
126,Capacity,EMP,-5661.94745342185
127,Capacity,EMP,0.0
128,Capacity,EMP,0.0
129,Capacity,EMP,11226.64003329786
130,Capacity,EMP,0.0
131,Capacity,EMP,-73.30048221691322
132,Capacity,EMP,-26174.006202691235
133,Capacity,EMP,-2174.5358991272115
134,Capacity,EMP,0.0
135,Capacity,EMP,0.0
136,Capacity,EMP,0.0
137,Capacity,EMP,-5294.428421732657
138,Capacity,EMP,0.0
139,Capacity,EMP,-3374.6626728388164
140,Capacity,EMP,14116.96756788902
141,Capacity,EMP,197112.4099853697
142,Capacity,EMP,3223.6213882872835
143,Capacity,EMP,0.0
144,Capacity,EMP,191433.6551815181
145,Capacity,EMP,-26685.79696923339
146,Capacity,EMP,0.0
147,Capacity,EMP,1588.4859041503332
148,Capacity,EMP,0.0
149,Capacity,EMP,-13633.182961469516
150,Capacity,EMP,3579.5277950735763
151,Capacity,EMP,0.0
