replication_id,method,absolute_relative_q99_error_pct
134,EMP,12.43249623599194
134,KDE,5.709079695036111
134,TAIL,11.28553160329962
135,EMP,6.26935015189643
135,KDE,1.54490233413845
135,TAIL,11.85113864101855
136,EMP,2.69953060317775
136,KDE,8.27661626078919
136,TAIL,5.1699146980739
137,EMP,12.23235649668583
137,KDE,8.50364669007653
137,TAIL,14.768801910221873
138,EMP,0.85929255623405
138,KDE,5.757972558888199
138,TAIL,14.252372993879058
139,EMP,6.77176416176785
139,KDE,1.79292329024324
139,TAIL,2.59677902864796
140,EMP,17.49673631759429
140,KDE,13.6541209210783
140,TAIL,13.43011753976801
141,EMP,26.139250498835697
141,KDE,22.99435771260933
141,TAIL,17.44170613361727
142,EMP,23.06898377149068
142,KDE,19.4143723847066
142,TAIL,12.83357656732611
143,EMP,19.89562239301668
143,KDE,14.66920507981995
143,TAIL,2.50930749552176
144,EMP,14.701794730875308
144,KDE,20.90174017790747
144,TAIL,24.83297629903029
145,EMP,15.88627277825791
145,KDE,11.45672622381624
145,TAIL,5.509407262476341
146,EMP,19.45632144982471
146,KDE,11.67176843080598
146,TAIL,16.58428692385077
147,EMP,25.01291122335451
147,KDE,21.71595290315845
147,TAIL,13.71651775856822
148,EMP,15.684933155116902
148,KDE,11.21832375456656
148,TAIL,5.495783782340101
149,EMP,13.088747470100689
149,KDE,18.31705985032146
149,TAIL,2.7895505665247
150,EMP,15.075365698164353
150,KDE,10.82499893173377
150,TAIL,9.60289642204788
151,EMP,13.05727484347494
151,KDE,19.72280102935654
151,TAIL,15.27085916610928
152,EMP,26.048822454040486
152,KDE,21.40414219052288
152,TAIL,20.76949883537736
153,EMP,24.23919328295457
153,KDE,19.47151498292065
153,TAIL,1.55044979291945
154,EMP,20.49681304688581
154,KDE,26.57288223381444
154,TAIL,0.4009930555652199
155,EMP,18.237549480631827
155,KDE,12.9780566772013
155,TAIL,8.340492055504999
156,EMP,17.10638834311746
156,KDE,23.54731698075185
156,TAIL,4.2670785413769
157,EMP,33.19272486889641
157,KDE,28.7821553839012
157,TAIL,20.57757088771875
158,EMP,19.82240693418393
158,KDE,12.15627665407272
158,TAIL,5.80241015719252
159,EMP,27.47827034864604
159,KDE,22.09073066475076
159,TAIL,11.66550170717614
160,EMP,36.97671997250655
160,KDE,34.70591365850424
160,TAIL,34.53098720896589
161,EMP,6.44061008633219
161,KDE,1.54569483308648
161,TAIL,0.57281110776007
162,EMP,15.09940027275375
162,KDE,10.77231930175491
162,TAIL,2.69971524893256
163,EMP,21.3037286087962
163,KDE,13.47184100500188
163,TAIL,18.100076074022457
164,EMP,19.14829448076021
164,KDE,14.95315096161983
164,TAIL,0.5775555541924999
165,EMP,13.5933584479845
165,KDE,9.37168837090944
165,TAIL,7.5454721309952895
166,EMP,2.77778335697058
166,KDE,1.8041230697262
166,TAIL,4.5483890397756594
167,EMP,24.87670718164203
167,KDE,20.495614652974613
167,TAIL,11.44975441477501
168,EMP,35.74746640483973
168,KDE,43.636444027551526
168,TAIL,17.25817669501444
169,EMP,21.1683118135925
169,KDE,18.004077378430562
169,TAIL,1.81468657329962
170,EMP,25.52374559468932
170,KDE,21.58378961377664
170,TAIL,6.48308220158969
171,EMP,16.568475219347658
171,KDE,11.43993000986726
171,TAIL,6.13203801631534
172,EMP,2.44577809873916
172,KDE,8.06818302257675
172,TAIL,8.00352400348587
173,EMP,6.9961042687889705
173,KDE,2.64956250120016
173,TAIL,6.28145422398618
174,EMP,26.97327423537328
174,KDE,23.12868469861664
174,TAIL,24.47999658146034
175,EMP,16.76693363296257
175,KDE,10.60611191928427
175,TAIL,17.01053841653483
176,EMP,5.93149993537907
176,KDE,12.97386801188354
176,TAIL,0.33424539462172
177,EMP,0.55571554035565
177,KDE,5.72036343846295
177,TAIL,3.5732758848320003
178,EMP,28.09438798861093
178,KDE,22.12860400598897
178,TAIL,6.00830865481739
179,EMP,27.256017601839748
179,KDE,23.87959181824568
179,TAIL,27.110059010953808
180,EMP,10.00124245968519
180,KDE,15.45803303251741
180,TAIL,3.81077923966451
181,EMP,13.22142691655031
181,KDE,23.106511469251707
181,TAIL,53.30567238269226
182,EMP,41.35998956792007
182,KDE,50.69964854569643
