analysis_variant,factory,method,crps
ROBUST_SLIDING_NATURAL,Cement_1,K-EMP,0.0701073459680499
ROBUST_SLIDING_NATURAL,Cement_1,K-GEV,0.0720177794598097
ROBUST_SLIDING_NATURAL,Cement_1,K-GTAIL,0.0710300341746196
ROBUST_SLIDING_NATURAL,Cement_1,K-KDE,0.0646773497823523
ROBUST_SLIDING_NATURAL,Cement_1,K-POINT,0.0813805819603771
ROBUST_SLIDING_NATURAL,Cement_1,K-UGPD,0.0461179140625164
ROBUST_SLIDING_NATURAL,Cement_2,K-EMP,0.0394061083332703
ROBUST_SLIDING_NATURAL,Cement_2,K-GEV,0.0393828994043698
ROBUST_SLIDING_NATURAL,Cement_2,K-GTAIL,0.0356022478324623
ROBUST_SLIDING_NATURAL,Cement_2,K-KDE,0.037378472042557
ROBUST_SLIDING_NATURAL,Cement_2,K-POINT,0.0508960133080609
ROBUST_SLIDING_NATURAL,Cement_2,K-UGPD,0.0351311947241197
ROBUST_SLIDING_NATURAL,Forge_1,K-EMP,0.034977870713714
ROBUST_SLIDING_NATURAL,Forge_1,K-GEV,0.0355214329495627
ROBUST_SLIDING_NATURAL,Forge_1,K-GTAIL,0.0390319720155315
ROBUST_SLIDING_NATURAL,Forge_1,K-KDE,0.03318516725511
ROBUST_SLIDING_NATURAL,Forge_1,K-POINT,0.0429086361878268
ROBUST_SLIDING_NATURAL,Forge_1,K-UGPD,0.0320016498732881
ROBUST_SLIDING_NATURAL,Forge_2,K-EMP,0.0180540937100492
ROBUST_SLIDING_NATURAL,Forge_2,K-GEV,0.018221048731875
ROBUST_SLIDING_NATURAL,Forge_2,K-GTAIL,0.0178295564401513
ROBUST_SLIDING_NATURAL,Forge_2,K-KDE,0.0173204276555759
ROBUST_SLIDING_NATURAL,Forge_2,K-POINT,0.024470116692457
ROBUST_SLIDING_NATURAL,Forge_2,K-UGPD,0.0178470425584218
ROBUST_SLIDING_NATURAL,Metal_1,K-EMP,0.0021988041048158
ROBUST_SLIDING_NATURAL,Metal_1,K-GEV,0.0021488978082973
ROBUST_SLIDING_NATURAL,Metal_1,K-GTAIL,0.0137535452003597
ROBUST_SLIDING_NATURAL,Metal_1,K-KDE,0.0019490504912795
ROBUST_SLIDING_NATURAL,Metal_1,K-POINT,0.0019548599677875
ROBUST_SLIDING_NATURAL,Metal_1,K-UGPD,0.0017202073498373
ROBUST_SLIDING_NATURAL,Metal_3,K-EMP,0.0089513526812199
ROBUST_SLIDING_NATURAL,Metal_3,K-GEV,0.0090696523952485
ROBUST_SLIDING_NATURAL,Metal_3,K-GTAIL,0.0089716873492726
ROBUST_SLIDING_NATURAL,Metal_3,K-KDE,0.008315245322059
ROBUST_SLIDING_NATURAL,Metal_3,K-POINT,0.0116422677603252
ROBUST_SLIDING_NATURAL,Metal_3,K-UGPD,0.0065065579143326
ROBUST_SLIDING_NATURAL,Paper,K-EMP,0.0072481166183637
ROBUST_SLIDING_NATURAL,Paper,K-GEV,0.007320283812251
ROBUST_SLIDING_NATURAL,Paper,K-GTAIL,0.0063769854446039
ROBUST_SLIDING_NATURAL,Paper,K-KDE,0.0068652867197973
ROBUST_SLIDING_NATURAL,Paper,K-POINT,0.0096526514168239
ROBUST_SLIDING_NATURAL,Paper,K-UGPD,0.0071688992442339
ROBUST_SLIDING_NATURAL,Steel_2,K-EMP,0.0516605932589872
ROBUST_SLIDING_NATURAL,Steel_2,K-GEV,0.0507440532795127
ROBUST_SLIDING_NATURAL,Steel_2,K-GTAIL,0.0447462963118095
ROBUST_SLIDING_NATURAL,Steel_2,K-KDE,0.0445280950531226
ROBUST_SLIDING_NATURAL,Steel_2,K-POINT,0.0633917735044923
ROBUST_SLIDING_NATURAL,Steel_2,K-UGPD,0.0451538128361464
