distribution,replication_id,cell_id,solution_location,candidate_cost_cny,independent_cost_cny,grid_cost_cny,grid_points,excess_cost_cny,grid_excess_cny
GAUSSIAN,6,STRESS_CONTRACT_NEAR_LOW,lower,5181930.2548023295,5181930.2548023295,5181930.2548023295,10001,0.0,0.0
EMP,6,STRESS_CONTRACT_NEAR_LOW,lower,5275809.918924546,5275809.918924546,5275809.918924546,10001,0.0,0.0
GAUSSIAN,6,STRESS_CONTRACT_CLEAR,interior,5169680.989276084,5169680.989276083,5169681.015889767,10001,9.313225746154783e-10,0.0266136825084686
EMP,6,STRESS_CONTRACT_CLEAR,interior,5231775.463973047,5231775.463973047,5231775.463973047,10001,0.0,0.0
GAUSSIAN,6,STRESS_CONTRACT_NEAR_HIGH,interior,5169680.989276084,5169680.989276083,5169681.018304632,10001,9.313225746154783e-10,0.0290285479277372
EMP,6,STRESS_CONTRACT_NEAR_HIGH,interior,5231775.463973047,5231775.463973047,5231775.463973047,10001,0.0,0.0
GAUSSIAN,6,STRESS_CAPACITY_NEAR,interior,5169680.989276084,5169680.989276084,5169681.005722044,10001,0.0,0.0164459599182009
EMP,6,STRESS_CAPACITY_NEAR,interior,5231775.463973047,5231775.463973047,5231775.463973047,10001,0.0,0.0
GAUSSIAN,6,STRESS_CAPACITY_CLEAR,interior,5169680.989276084,5169680.989276084,5169680.990101902,10001,0.0,0.0008258176967501
EMP,6,STRESS_CAPACITY_CLEAR,interior,5231775.463973047,5231775.463973047,5231775.463973047,10001,0.0,0.0
GAUSSIAN,7,BASE_ACTUAL_NEAR,interior,5532057.696343622,5532057.696343622,5532057.698163059,10001,0.0,0.0018194364383816
EMP,7,BASE_ACTUAL_NEAR,interior,5527787.01633771,5527787.01633771,5527787.61618373,10001,0.0,0.5998460194095969
GAUSSIAN,7,BASE_CAPACITY_NEAR,interior,5532057.696343622,5532057.696343622,5532057.707461293,10001,0.0,0.0111176706850528
EMP,7,BASE_CAPACITY_NEAR,interior,5527787.01633771,5527787.01633771,5527791.894729222,10001,0.0,4.8783915117383
GAUSSIAN,7,STRESS_ACTUAL_CLEAR,lower,5405680.106681986,5405680.106681986,5405680.106681986,10001,0.0,0.0
EMP,7,STRESS_ACTUAL_CLEAR,lower,5496095.795043967,5496095.795043967,5496095.795043967,10001,0.0,0.0
GAUSSIAN,7,STRESS_ACTUAL_NEAR,lower,5020906.069820568,5020906.069820568,5020906.069820568,10001,0.0,0.0
EMP,7,STRESS_ACTUAL_NEAR,lower,5086954.8359869765,5086954.8359869765,5086954.8359869765,10001,0.0,0.0
GAUSSIAN,7,STRESS_CONTRACT_NEAR_LOW,lower,4999473.066365281,4999473.066365281,4999473.066365281,10001,0.0,0.0
EMP,7,STRESS_CONTRACT_NEAR_LOW,lower,5055678.801562831,5055678.801562831,5055678.801562831,10001,0.0,0.0
GAUSSIAN,7,STRESS_CONTRACT_CLEAR,interior,4924475.712839315,4924475.712839316,4924475.716728991,10001,0.0,0.0038896761834621
EMP,7,STRESS_CONTRACT_CLEAR,interior,4961177.694264555,4961177.694264555,4961177.694264555,10001,0.0,0.0
GAUSSIAN,7,STRESS_CONTRACT_NEAR_HIGH,interior,4924475.712839315,4924475.712839316,4924475.721242658,10001,0.0,0.0084033431485295
EMP,7,STRESS_CONTRACT_NEAR_HIGH,interior,4961177.694264555,4961177.694264555,4961177.694264555,10001,0.0,0.0
GAUSSIAN,7,STRESS_CAPACITY_NEAR,interior,4924475.712839315,4924475.712839316,4924475.730728728,10001,0.0,0.0178894130513072
EMP,7,STRESS_CAPACITY_NEAR,interior,4961177.694264555,4961177.694264555,4961177.694264555,10001,0.0,0.0
GAUSSIAN,7,STRESS_CAPACITY_CLEAR,interior,4924475.712839315,4924475.712839316,4924475.714064709,10001,0.0,0.0012253941968083
EMP,7,STRESS_CAPACITY_CLEAR,interior,4961177.694264555,4961177.694264555,4961177.694264555,10001,0.0,0.0
GAUSSIAN,8,BASE_ACTUAL_NEAR,interior,5673760.616873381,5673760.616873381,5673760.619874193,10001,0.0,0.0030008126050233
EMP,8,BASE_ACTUAL_NEAR,interior,5663264.444047043,5663264.444047043,5663275.291318659,10001,0.0,10.847271615639327
GAUSSIAN,8,BASE_CAPACITY_NEAR,interior,5673760.616873381,5673760.616873381,5673760.638425544,10001,0.0,0.0215521631762385
EMP,8,BASE_CAPACITY_NEAR,interior,5663264.444047043,5663264.444047043,5663274.846306343,10001,0.0,10.40225929953158
GAUSSIAN,8,STRESS_ACTUAL_CLEAR,lower,5418164.012760047,5418164.012760047,5418164.012760047,10001,0.0,0.0
EMP,8,STRESS_ACTUAL_CLEAR,lower,5478864.6814222,5478864.6814222,5478864.6814222,10001,0.0,0.0
