replication_id,method_id,q99_relative_error,mean_relative_error,stoploss_relative_error,regret_cny_per_month
21,TAIL,0.3291066851550464,0.0849118120269104,0.9928066850397129,14817.900658757942
22,EMP,0.1964159721552361,0.0386350410291623,0.5582321130803082,9268.150585797615
22,EVENT-EMP,0.1964159721552361,0.0405130588314629,0.5653448754002981,8605.888190167336
22,GEV,0.2136205895845266,0.0386350410291625,0.5343849055819017,9998.734848804772
22,KDE,0.1644887598943471,0.0386350410291623,0.4474843511689458,8523.938602533502
22,TAIL,0.22858085719398108,0.0357042220238672,0.5035706050713409,8466.215338295637
23,EMP,0.1248924715176606,0.0039886118612788,0.38127078673397796,10036.11448167906
23,EVENT-EMP,0.1248924715176606,0.0240413589419605,0.4059852355648133,14817.900658757942
23,GEV,0.3883864249749781,0.002548044920434,0.38392073245773545,10036.11448167906
23,KDE,0.1931768183630313,0.0039890454151155,0.6605608417714923,10036.11448167906
23,TAIL,0.055899847088930504,0.0165673418387638,0.18086117799804013,14817.900658757942
24,EMP,0.1930665703936786,0.0742736733199344,0.5360563001717203,134947.4348219218
24,EVENT-EMP,0.1930665703936786,0.0618166704739328,0.5447260179584349,86524.87962111871
24,GEV,0.1020639028448672,0.0742748791786574,0.5087896228009321,101942.27837885491
24,KDE,0.1579322264421944,0.0742736733199342,0.4687727900604934,22558.70047606745
24,TAIL,0.183745898293527,0.06185380885662049,0.5370290770922188,17726.752677765053
25,EMP,0.2256379976374914,0.0331477797363331,0.09371222157199467,28785.54529624184
25,EVENT-EMP,0.2256379976374914,0.0055344163004105,0.22463883961581013,10036.11448167906
25,GEV,0.2685627193517585,0.0335252748093841,0.1584876010230336,28785.54529624184
25,KDE,0.2923195251201758,0.0331464987512694,0.3691988923168981,28785.54529624184
25,TAIL,0.0193924337134473,0.0047689485466869,0.011628638142980355,1477.4090403396015
26,EMP,0.000590762542667,0.0475592784748695,0.3148304460035312,14051.307577571417
26,EVENT-EMP,0.000590762542667,0.0096309696371997,0.2089392152136378,14817.900658757942
26,GEV,0.1839774586298662,0.0475108623545356,0.36473994205304516,14051.307577571417
26,KDE,0.06058518598590631,0.0475592787149906,0.5912464079680324,14817.900658757942
26,TAIL,0.0048360839521272,0.0035798501988615,0.02068174372524131,76.40146001366277
27,EMP,0.2690368480505586,0.0038465218631221,0.24188541245456208,15807.789259081603
27,EVENT-EMP,0.2690368480505586,0.0124640528698105,0.2955063860563192,16323.520226788087
27,GEV,0.1634183616413181,0.0038465218631221,0.24317520709957943,4310.371269692563
27,KDE,0.2147901510246457,0.0038465218631219,0.14932697922138652,8306.933399769063
27,TAIL,0.0310174456162096,0.0063556636356234,0.08116034750959408,3238.302205409441
28,EMP,0.168950455002037,0.0211229515352872,0.27176217714063533,13179.92013760563
28,EVENT-EMP,0.168950455002037,0.0186606227964404,0.16401696370862903,11085.879842390306
28,GEV,0.0435774252508714,0.021123264274157,0.24443275143479581,10601.58825983604
28,KDE,0.1303149183584106,0.0211229515352874,0.15579979911908193,7365.03732230359
28,TAIL,0.1223144897335257,0.029230157645712105,0.32873778612921845,9464.945701324381
29,EMP,0.1568830141487422,0.0407864039428398,0.3907977126167511,10332.443827652683
29,EVENT-EMP,0.1568830141487422,0.0216069022066851,0.24372045193183758,7998.059937145251
29,GEV,0.0701839450512699,0.0407866805951501,0.35404645321859846,16144.823960039454
29,KDE,0.11857079341195338,0.0407864039428394,0.2768476326222158,10323.130944425551
29,TAIL,0.1287321941911188,0.0217971203711553,0.27656849561180624,8109.021847677417
30,EMP,0.2426364299290921,0.0215655097064223,0.27490863466873716,9454.911584682452
30,EVENT-EMP,0.2426364299290921,0.032976775373791,0.32394882678571274,9306.739104311604
30,GEV,0.060406063126608095,0.0215655675702079,0.2577295648555271,10090.201537359817
30,KDE,0.1788049105889518,0.0215655097064225,0.16836770836915224,7389.041940354742
30,TAIL,0.1744003954680565,0.0339458286682598,0.4282979676101875,9333.68862390425
31,EMP,0.0789485283436897,0.0135244802494341,0.09169428591583431,19447.884100056355
