replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
95,12,-0.0416539334252314,0.1171610437104751,-0.0344496569483273
95,24,0.0285883307703695,0.0259517780033181,0.1378576563117629
95,60,-0.033987185551202,0.092540210333339,-0.0451815272320653
96,12,0.0086602679790224,0.0431340742420567,0.1270726011290451
96,24,-0.1141459937785937,0.2538926817193461,-0.0734950803539597
96,60,-0.0762188478850159,0.0501833614521069,-0.1360232183386377
97,12,-0.0020897578791403,0.0134685701762056,0.0050255442655111
97,24,0.0809048639039723,-0.0840076763586913,0.2506667391502006
97,60,0.0226252625966716,0.0032213258172803,0.1473335795505163
98,12,-0.0965985564950925,0.2236237834801195,-0.1048941787535183
98,24,-0.0436787075419363,0.0771355662141139,-0.0693720928091879
98,60,-0.0465707186066219,0.100930738929282,-0.0572769419866085
99,12,0.0023860973177217,-0.078690137836869,-0.0200691363633395
99,24,0.0045048809496111,-0.1106174418368342,-0.0252398193333525
99,60,-0.0292983391885381,-0.0071909906859567,-0.056974068702394
100,12,-0.0575064558207202,0.0607481230782821,-0.0769856734430673
100,24,-0.0746851538104459,0.085870349690444,-0.1301046512617459
100,60,-0.0601487384342085,0.0499717664137492,-0.1259351997895594
101,12,-0.0090361351191571,-0.0646919953584355,-0.0627124863429443
101,24,-0.0339154962335335,0.0298952817258673,-0.0543681941017451
101,60,-0.0069860509248761,0.0272275410973893,0.0297706664422957
102,12,-0.0835473424533102,-0.0504809722811526,-0.1917364419381871
102,24,0.0998390434387866,-0.2666291398120978,-0.0104020917028956
102,60,0.0158162675865913,-0.0265230385875562,0.0635789107264318
103,12,-0.0119906354082299,-0.0553259594033983,-0.017928407005465
103,24,-0.1946286646917453,0.1828723827194159,-0.2359093831603103
103,60,-0.0305324685664468,0.0016177853489759,-0.0913367625295895
104,12,-0.1168485814256525,0.0699803728466514,-0.2468847214443856
104,24,-0.1488395806516694,0.0305077358833567,-0.2376973994419045
104,60,-0.0323447055863175,0.0091835875398183,-0.0676569730498147
105,12,0.00277781496182,0.0423863796018976,0.0141052905914515
105,24,-0.0212851502537827,0.0356890655315812,-0.036666759053215
105,60,-0.0354583224855787,0.0164055124000879,-0.0901375016292158
106,12,-0.0334292935734935,0.0360577494709483,-0.090565139302103
106,24,-0.0493126736439089,-0.0344489838867474,-0.1008755012361446
106,60,0.0499195711008221,-0.0689220942105378,0.1477216631913317
107,12,-0.1646712896724266,0.2218843161656133,-0.2373171568827194
107,24,0.0216500388730723,-0.0902289627234739,0.0194405744949902
107,60,0.1084277974183737,-0.1373891042925135,0.1944421512213193
108,12,-0.0171485144208967,-0.0373751467168758,-0.0689622161394528
