replication_id,physical_scenario_id,training_months,method_id,regret_scaled
6,T4_HIGH_AMP,12,EMP-JOINT,4.037950772089285
6,T4_HIGH_AMP,12,KDE-MC-JOINT,4.423755602295485
6,T4_HIGH_AMP,12,TAIL-JOINT,0.3022104958905051
6,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.16589499742478014
6,T4_HIGH_AMP,24,EMP-JOINT,0.022226513356157523
6,T4_HIGH_AMP,24,KDE-MC-JOINT,0.02029845422647856
6,T4_HIGH_AMP,24,TAIL-JOINT,0.16589499742478014
6,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,5.516858790544527
6,T5_HIGH_FREQ,12,EMP-JOINT,1.451586588320184
6,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.8448005817649562
6,T5_HIGH_FREQ,12,TAIL-JOINT,5.516858790544527
6,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.35146123659786044
6,T5_HIGH_FREQ,24,EMP-JOINT,0.237658021586172
6,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.4087181521475821
6,T5_HIGH_FREQ,24,TAIL-JOINT,0.35146123659786044
6,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.07539313216419166
6,T6_CLUSTERED,12,EMP-JOINT,0.4105958350329294
6,T6_CLUSTERED,12,KDE-MC-JOINT,0.07539313216419166
6,T6_CLUSTERED,12,TAIL-JOINT,0.053714521888208064
6,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.04390293253612152
6,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.04254512683746263
6,T6_CLUSTERED,24,EMP-JOINT,0.4105958350329294
6,T6_CLUSTERED,24,KDE-MC-JOINT,0.0418093694903902
6,T6_CLUSTERED,24,TAIL-JOINT,0.04254512683746263
6,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.03822063637216931
7,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.06708577239618989
7,T4_HIGH_AMP,12,EMP-JOINT,1.068944777524783
7,T4_HIGH_AMP,12,KDE-MC-JOINT,0.06708577239618989
7,T4_HIGH_AMP,12,TAIL-JOINT,0.002179565419460898
7,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.03760190100673391
7,T4_HIGH_AMP,24,EMP-JOINT,0.12208255272783926
7,T4_HIGH_AMP,24,KDE-MC-JOINT,0.00873462848990901
7,T4_HIGH_AMP,24,TAIL-JOINT,0.03760190100673391
7,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.008479291598592335
7,T5_HIGH_FREQ,12,EMP-JOINT,0.003990922490987612
7,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.008479291598592335
7,T5_HIGH_FREQ,12,TAIL-JOINT,0.1221637489905389
7,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.2267163544108176
7,T5_HIGH_FREQ,24,EMP-JOINT,0.46763791188800086
7,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.2267163544108176
7,T5_HIGH_FREQ,24,TAIL-JOINT,1.2636861232973713
7,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.19553981536944143
7,T6_CLUSTERED,12,EMP-JOINT,0.11908585325968624
