policy_id,cell_id,alpha,utilization,oracle_mode,method_id,replications,action_accuracy,mean_regret_cny,se_regret_cny,median_regret_cny,p90_regret_cny,p95_regret_cny,mean_regret_over_oracle,median_regret_over_oracle,p95_regret_over_oracle
CONTRACT_ALPHA120,STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,KDE,1000,0.389,41090.643252498565,817.7924449622312,60408.2708125161,60408.2708125161,60408.2708125161,0.0077881228627434615,0.0114494930664087,0.0114494930664087
CONTRACT_ALPHA120,STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,TAIL,1000,0.626,28848.38502201013,853.1264803189229,15567.043303080834,60408.2708125161,60408.2708125161,0.005467784126973505,0.0029505025051334,0.0114494930664087
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,EMP,1000,0.567,22504.15581879425,764.782078667196,18055.307529818267,60408.2708125161,67279.48450751278,0.004265329441598232,0.0034221161373104,0.01275182985738962
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,EVENT-EMP,1000,0.593,16357.504143386699,479.56661808647834,18055.307529818267,30910.482625435106,45571.26874599315,0.0031003226504316963,0.0034221161373104,0.008637359065517087
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,GEV,1000,0.543,18569.70344203406,558.6690163870657,18055.307529818267,44134.84998639822,60408.2708125161,0.0035196122641004465,0.0034221161373104,0.0114494930664087
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,KDE,1000,0.37,21693.306201767966,604.4445096921094,18055.307529818267,60408.2708125161,60408.2708125161,0.004111644905636985,0.0034221161373104,0.0114494930664087
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,TAIL,1000,0.595,13599.746391220726,384.2715880532086,18055.307529818267,19009.548906712145,32589.539080460687,0.0025776305117963137,0.0034221161373104,0.006176864471046573
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,EMP,1000,0.576,6233.31104770948,284.7791231450027,0.0,11861.451992777176,11861.451992777176,0.0011706601606759686,0.0,0.0022276650706878
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,EVENT-EMP,1000,0.577,6532.998138346442,433.8527599210633,0.0,11861.451992777176,11861.451992777176,0.0012269435283745063,0.0,0.0022276650706878
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,GEV,1000,0.527,6349.254600387774,266.651450978721,415.6162041025236,11861.451992777176,11861.451992777176,0.0011924351847312149,7.80556799669e-05,0.0022276650706878
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,KDE,1000,0.332,8156.4328847882625,181.86867263814565,11861.451992777176,11861.451992777176,11861.451992777176,0.001531836123428761,0.0022276650706878,0.0022276650706878
CONTRACT_ALPHA120,STRESS_CONTRACT_NEAR_LOW,1.2,0.455,contracted_maximum_demand,TAIL,1000,0.562,5240.827082077543,189.54258539661794,0.0,11861.451992777176,11861.451992777176,0.0009842646110584082,0.0,0.0022276650706878
