cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,mean_cny
A110_U640,1.1,0.64,capacity,EMP,0.008927122198227557,0.0239999999999999,0.682,46522.802650287
A110_U640,1.1,0.64,capacity,EVENT-EMP,0.008504457077076776,0.0239999999999999,0.674,44320.12573136215
A110_U640,1.1,0.64,capacity,GEV,0.008387695983056356,0.0239999999999999,0.682,43711.636991797
A110_U640,1.1,0.64,capacity,KDE,0.007831478690501326,0.0239999999999999,0.682,40812.96631634099
A110_U640,1.1,0.64,capacity,TAIL,0.007902268916285104,0.0239999999999999,0.682,41181.88248334068
A110_U660,1.1,0.66,capacity,EMP,0.006301657727519091,0.056,0.903,31845.29230357261
A110_U660,1.1,0.66,capacity,EVENT-EMP,0.006234279832104433,0.056,0.9,31504.79955276685
A110_U660,1.1,0.66,capacity,GEV,0.005888092960348941,0.056,0.904,29755.351613922154
A110_U660,1.1,0.66,capacity,KDE,0.0054584731947909205,0.056,0.905,27584.277333920956
A110_U660,1.1,0.66,capacity,TAIL,0.005542714819919046,0.056,0.906,28009.99058150308
A110_U680,1.1,0.68,capacity,EMP,0.0020423963244868234,0.0,0.983,10017.641180150174
A110_U680,1.1,0.68,capacity,EVENT-EMP,0.0017963297329337696,0.0,0.983,8810.722233495477
A110_U680,1.1,0.68,capacity,GEV,0.0015648047513327934,0.0,0.985,7675.127656619115
A110_U680,1.1,0.68,capacity,KDE,0.0012319999999999987,0.0,0.986,6042.771320128582
A110_U680,1.1,0.68,capacity,TAIL,0.0013950971993635613,0.0,0.985,6842.738104793704
A110_U700,1.1,0.7,capacity,EMP,0.0003354611630809145,0.0,0.998,1598.374611307958
A110_U700,1.1,0.7,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U700,1.1,0.7,capacity,GEV,0.0003322667107779887,0.0,0.998,1583.1539776848667
A110_U700,1.1,0.7,capacity,KDE,0.0002399999999999998,0.0,0.998,1143.5300086328666
A110_U700,1.1,0.7,capacity,TAIL,0.0001199999999999999,0.0,0.999,571.7650043164333
A110_U720,1.1,0.72,capacity,EMP,0.0,0.0,1.0,0.0
A110_U720,1.1,0.72,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U720,1.1,0.72,capacity,GEV,0.0,0.0,1.0,0.0
A110_U720,1.1,0.72,capacity,KDE,0.0,0.0,1.0,0.0
A110_U720,1.1,0.72,capacity,TAIL,0.0,0.0,1.0,0.0
A110_U740,1.1,0.74,capacity,EMP,0.0,0.0,1.0,0.0
A110_U740,1.1,0.74,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U740,1.1,0.74,capacity,GEV,0.0,0.0,1.0,0.0
A110_U740,1.1,0.74,capacity,KDE,0.0,0.0,1.0,0.0
A110_U740,1.1,0.74,capacity,TAIL,0.0,0.0,1.0,0.0
A110_U760,1.1,0.76,capacity,EMP,0.0,0.0,1.0,0.0
A110_U760,1.1,0.76,capacity,EVENT-EMP,0.0,0.0,1.0,0.0
A110_U760,1.1,0.76,capacity,GEV,0.0,0.0,1.0,0.0
A110_U760,1.1,0.76,capacity,KDE,0.0,0.0,1.0,0.0
A110_U760,1.1,0.76,capacity,TAIL,0.0,0.0,1.0,0.0
A115_U400,1.15,0.4,actual_maximum_demand,EMP,7.51951019303612e-05,0.0,0.999,401.2766592780184
A115_U400,1.15,0.4,actual_maximum_demand,EVENT-EMP,0.0,0.0,1.0,0.0
A115_U400,1.15,0.4,actual_maximum_demand,GEV,7.51951019303612e-05,0.0,0.999,401.2766592780184
A115_U400,1.15,0.4,actual_maximum_demand,KDE,0.0,0.0,1.0,0.0
A115_U400,1.15,0.4,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A115_U420,1.15,0.42,actual_maximum_demand,EMP,0.00099840068875006,0.0,0.98,5327.938691718616
A115_U420,1.15,0.42,actual_maximum_demand,EVENT-EMP,0.000249600172187515,0.0,0.995,1331.984672929654
A115_U420,1.15,0.42,actual_maximum_demand,GEV,0.000648960447687539,0.0,0.987,3463.1601496171
A115_U420,1.15,0.42,actual_maximum_demand,KDE,0.000249600172187515,0.0,0.995,1331.984672929654
A115_U420,1.15,0.42,actual_maximum_demand,TAIL,0.0,0.0,1.0,0.0
A115_U440,1.15,0.44,actual_maximum_demand,EMP,0.0034458778596046756,0.0334126781769317,0.898,18388.83544652722
A115_U440,1.15,0.44,actual_maximum_demand,EVENT-EMP,0.002540695320914199,0.0334126781769317,0.924,13558.352930539682
A115_U440,1.15,0.44,actual_maximum_demand,GEV,0.002608482941866958,0.0334126781769317,0.922,13920.099764815133
A115_U440,1.15,0.44,actual_maximum_demand,KDE,0.0011373684145229402,0.0,0.966,6069.536260098128
A115_U440,1.15,0.44,actual_maximum_demand,TAIL,0.000668253563538634,0.0,0.98,3566.117348650638
A115_U460,1.15,0.46,actual_maximum_demand,EMP,0.005513563497795417,0.0253086114979797,0.79,29422.98479974868
A115_U460,1.15,0.46,actual_maximum_demand,EVENT-EMP,0.004899771937053049,0.0253086114979797,0.81,26147.50247889433
A115_U460,1.15,0.46,actual_maximum_demand,GEV,0.0045003063084792525,0.0253086114979797,0.826,24015.764788333865
A115_U460,1.15,0.46,actual_maximum_demand,KDE,0.001864079800718738,0.0253086114979797,0.928,9947.612222838516
A115_U460,1.15,0.46,actual_maximum_demand,TAIL,0.002610076628813504,0.0253086114979797,0.897,13928.604432771246
A115_U480,1.15,0.48,actual_maximum_demand,EMP,0.007099944395302445,0.025184940229446107,0.723,37888.664219714476
A115_U480,1.15,0.48,actual_maximum_demand,EVENT-EMP,0.006076676459133635,0.0251164993267581,0.76,32428.022124270476
