replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
490,201026.89505476257,201026.89505476257,201026.89505476257
491,336014.79015683883,336014.79015683883,336014.79015683883
492,235923.72176461856,235923.72176461856,235923.72176461856
493,186763.24436754439,186763.24436754439,186763.24436754439
494,221297.44284833749,221297.44284833749,221297.44284833749
495,244313.52841217769,244313.52841217769,244313.52841217772
496,251783.51396351488,251783.51396351488,251783.51396351488
497,352943.02792251622,352943.02792251622,352943.02792251622
498,241347.68767674619,241347.68767674619,241347.68767674617
499,189217.77852666989,189217.77852666989,189217.77852666989
500,261298.52989986289,261298.52989986289,261298.52989986289
501,272309.6261432356,272309.6261432356,272309.6261432356
502,190959.96111263809,190959.96111263809,190959.96111263809
503,216941.26687242649,216941.26687242649,216941.26687242647
504,253194.13090846012,253194.13090846012,253194.13090846015
505,256133.32258887056,256133.32258887056,256133.32258887056
506,204127.46836235863,204127.46836235863,204127.46836235863
507,196241.02060930879,196241.02060930879,196241.02060930876
