alpha,utilization,oracle_mode,oracle_margin_cny,oracle_best_value_cny,capacity,actual_maximum_demand,contracted_maximum_demand
1.2,0.46799999999999997,contracted_maximum_demand,43729.909383289516,5292743.464236759,7126700.552377202,5336473.373620048,5292743.464236759
1.2,0.46849999999999997,contracted_maximum_demand,44617.95922232978,5291855.414397718,7119094.6819904605,5336473.373620048,5291855.414397718
1.2,0.469,contracted_maximum_demand,45481.29029212892,5290992.083327919,7111505.028811365,5336473.373620048,5290992.083327919
1.2,0.4695,contracted_maximum_demand,46319.93603749666,5290153.4375825515,7103931.541027755,5336473.373620048,5290153.4375825515
1.2,0.47,contracted_maximum_demand,47133.93020473607,5289339.443415312,7096374.167047937,5336473.373620048,5289339.443415312
1.2,0.4705,contracted_maximum_demand,47923.306844818406,5288550.06677523,7088832.855499534,5336473.373620048,5288550.06677523
1.2,0.471,contracted_maximum_demand,48688.10031654872,5287785.273303499,7081307.555228303,5336473.373620048,5287785.273303499
1.2,0.4715,contracted_maximum_demand,49428.34528969973,5287045.028330348,7073798.215296989,5336473.373620048,5287045.028330348
1.2,0.472,contracted_maximum_demand,50144.07674812339,5286329.296871925,7066304.784984174,5336473.373620048,5286329.296871925
1.2,0.4725,contracted_maximum_demand,50835.32999284193,5285638.043627206,7058827.213783133,5336473.373620048,5285638.043627206
1.2,0.473,contracted_maximum_demand,51502.14064510632,5284971.232974942,7051365.451400699,5336473.373620048,5284971.232974942
1.2,0.4735,contracted_maximum_demand,52144.54464943707,5284328.828970611,7043919.447756136,5336473.373620048,5284328.828970611
1.2,0.474,contracted_maximum_demand,52762.5782766426,5283710.795343406,7036489.152980022,5336473.373620048,5283710.795343406
1.2,0.4745,contracted_maximum_demand,53356.278126794845,5283117.095493253,7029074.517413131,5336473.373620048,5283117.095493253
1.2,0.475,contracted_maximum_demand,53925.681132201105,5282547.692487847,7021675.491605327,5336473.373620048,5282547.692487847
1.2,0.4755,contracted_maximum_demand,54470.82456033677,5282002.549059711,7014292.02631447,5336473.373620048,5282002.549059711
1.2,0.476,contracted_maximum_demand,54991.74601674173,5281481.627603306,7006924.072505316,5336473.373620048,5281481.627603306
1.2,0.4765,contracted_maximum_demand,55488.48344791401,5280984.890172134,6999571.581348438,5336473.373620048,5280984.890172134
1.2,0.477,contracted_maximum_demand,55961.075144150294,5280512.298475898,6992234.504219142,5336473.373620048,5280512.298475898
1.2,0.4775,contracted_maximum_demand,56409.55974237993,5280063.813877668,6984912.7926964,5336473.373620048,5280063.813877668
1.2,0.478,contracted_maximum_demand,56833.97622894216,5279639.397391106,6977606.39856178,5336473.373620048,5279639.397391106
1.2,0.4785,contracted_maximum_demand,57234.36394237727,5279239.009677671,6970315.273798392,5336473.373620048,5279239.009677671
1.2,0.479,contracted_maximum_demand,57610.76257612556,5278862.611043923,6963039.370589835,5336473.373620048,5278862.611043923
1.2,0.4795,contracted_maximum_demand,57963.21218127385,5278510.161438774,6955778.641319146,5336473.373620048,5278510.161438774
1.2,0.48,contracted_maximum_demand,58291.75316919014,5278181.620450858,6948533.038567772,5336473.373620048,5278181.620450858
1.2,0.4805,contracted_maximum_demand,58596.42631419469,5277876.9473058535,6941302.515114527,5336473.373620048,5277876.9473058535
1.2,0.481,contracted_maximum_demand,58877.272756159306,5277596.100863889,6934087.023934575,5336473.373620048,5277596.100863889
1.2,0.4815,contracted_maximum_demand,59134.334003088996,5277339.039616959,6926886.518198402,5336473.373620048,5277339.039616959
1.2,0.482,contracted_maximum_demand,59367.65193366911,5277105.721686379,6919700.95127081,5336473.373620048,5277105.721686379
1.2,0.4825,contracted_maximum_demand,59577.26879977714,5276896.104820271,6912530.276709907,5336473.373620048,5276896.104820271
1.2,0.483,contracted_maximum_demand,59763.22722897213,5276710.146391076,6905374.4482661085,5336473.373620048,5276710.146391076
1.2,0.4835,contracted_maximum_demand,59925.57022693381,5276547.803393114,6898233.419881138,5336473.373620048,5276547.803393114
1.2,0.484,contracted_maximum_demand,60064.341179873794,5276409.032440174,6891107.145687046,5336473.373620048,5276409.032440174
1.2,0.4845,contracted_maximum_demand,60179.58385692164,5276293.7897631265,6883995.580005222,5336473.373620048,5276293.7897631265
1.2,0.485,contracted_maximum_demand,60271.342412460595,5276202.031207588,6876898.677345423,5336473.373620048,5276202.031207588
1.2,0.4855,contracted_maximum_demand,60339.66138844192,5276133.712231606,6869816.3924048,5336473.373620048,5276133.712231606
1.2,0.486,contracted_maximum_demand,60384.58571664337,5276088.787903405,6862748.680066935,5336473.373620048,5276088.787903405
1.2,0.4865,contracted_maximum_demand,60406.16072092764,5276067.2128991205,6855695.495400884,5336473.373620048,5276067.2128991205
1.2,0.487,contracted_maximum_demand,60408.2708125161,5276065.102807532,6848656.793660226,5336473.373620048,5276065.102807532
1.2,0.4875,contracted_maximum_demand,60408.2708125161,5276065.102807532,6841632.530282114,5336473.373620048,5276065.102807532
1.2,0.488,contracted_maximum_demand,60408.2708125161,5276065.102807532,6834622.660886333,5336473.373620048,5276065.102807532
1.2,0.4885,contracted_maximum_demand,60408.2708125161,5276065.102807532,6827627.141274372,5336473.373620048,5276065.102807532
1.2,0.489,contracted_maximum_demand,60408.2708125161,5276065.102807532,6820645.927428487,5336473.373620048,5276065.102807532
1.2,0.4895,contracted_maximum_demand,60408.2708125161,5276065.102807532,6813678.975510787,5336473.373620048,5276065.102807532
1.2,0.49,contracted_maximum_demand,60408.2708125161,5276065.102807532,6806726.241862306,5336473.373620048,5276065.102807532
1.2,0.4905,contracted_maximum_demand,60408.2708125161,5276065.102807532,6799787.6830021,5336473.373620048,5276065.102807532
1.2,0.491,contracted_maximum_demand,60408.2708125161,5276065.102807532,6792863.255626336,5336473.373620048,5276065.102807532
1.2,0.4915,contracted_maximum_demand,60408.2708125161,5276065.102807532,6785952.9166073855,5336473.373620048,5276065.102807532
1.2,0.492,contracted_maximum_demand,60408.2708125161,5276065.102807532,6779056.622992948,5336473.373620048,5276065.102807532
1.2,0.4925,contracted_maximum_demand,60408.2708125161,5276065.102807532,6772174.3320051385,5336473.373620048,5276065.102807532
1.2,0.493,contracted_maximum_demand,60408.2708125161,5276065.102807532,6765306.001039615,5336473.373620048,5276065.102807532
1.2,0.4935,contracted_maximum_demand,60408.2708125161,5276065.102807532,6758451.587664702,5336473.373620048,5276065.102807532
1.2,0.494,contracted_maximum_demand,60408.2708125161,5276065.102807532,6751611.049620507,5336473.373620048,5276065.102807532
