scenario_id,replication_id,method_id,q99_error,regret,accuracy,fit_status
RATE_SHIFT_5_TO_30,193,EVENT-EMP,0.0748484412318562,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,193,GEV,0.3196833411703721,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,193,KDE,0.1457235024118666,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,193,TAIL,-0.0164120551346602,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,194,EMP,0.0193967966399814,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,194,EVENT-EMP,0.0193967966399814,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,194,GEV,0.3088561965444719,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,194,KDE,0.1182034221828423,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,194,TAIL,0.0914214056944727,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,195,EMP,0.0412739478831701,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,195,EVENT-EMP,0.0412739478831701,0.036958543584068325,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,195,GEV,0.0940537638778581,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,195,KDE,0.1009506733721696,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,195,TAIL,-0.1420418281338848,0.03691632568058098,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,196,EMP,-0.3367139959698051,0.044930806580999835,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,196,EVENT-EMP,-0.3367139959698051,0.027718756872939145,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,196,GEV,-0.2254031612041224,0.031700977093541714,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,196,KDE,-0.2799052799641829,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,196,TAIL,-0.2254928075784,0.03357810908518439,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,197,EMP,-0.3143195386822233,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,197,EVENT-EMP,-0.3143195386822233,0.0020303201124847,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,197,GEV,-0.2053510982376088,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,197,KDE,-0.2569140667284382,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,197,TAIL,-0.0581542891575702,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,198,EMP,-0.1148142457242356,0.0423698468449573,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,198,EVENT-EMP,-0.1148142457242356,0.028424722082967775,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,198,GEV,-0.1042184635437542,0.04142162984169928,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,198,KDE,-0.0711217718508182,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,198,TAIL,-0.2078576585966442,0.031151135095879676,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,199,EMP,-0.2957011500245042,0.030698209546702653,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,199,EVENT-EMP,-0.2957011500245042,0.02251741042374645,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,199,GEV,-0.2860679085400781,0.03166460435978782,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,199,KDE,-0.2605689242700869,0.02822496718304217,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,199,TAIL,-0.2363544978110142,0.03355089093955578,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,0,EMP,-0.4339561788831371,0.04475553561115117,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,0,EVENT-EMP,-0.4339561788831371,0.028981431194492566,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,0,GEV,-0.3685106813202056,0.03440796822069519,0.5555555555555556,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,0,KDE,-0.3994205236718093,0.03249790438765627,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,0,TAIL,-0.32090217457622,0.031283827658176146,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,1,EMP,-0.227787455458941,0.018791850133722744,0.3333333333333333,PASS
SCALE_SHIFT_8000_TO_12000,1,EVENT-EMP,-0.227787455458941,0.0049656651657044,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,1,GEV,-0.0477430249821527,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,1,KDE,-0.1719485810340847,0.018791850133722744,0.3333333333333333,PASS
SCALE_SHIFT_8000_TO_12000,1,TAIL,-0.0552602821225284,0.005523208287412967,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,2,EMP,-0.2105125055053572,0.023932546299159647,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,2,EVENT-EMP,-0.2105125055053572,0.023196751375417265,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,2,GEV,-0.1287328973101396,0.023833517636871925,0.5555555555555556,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,2,KDE,-0.1745697202804616,0.02023321317817919,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,2,TAIL,-0.0858873124769556,0.008188885780131144,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,3,EMP,-0.012298954318214,0.009206653974615744,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,3,EVENT-EMP,-0.012298954318214,0.008694321913966812,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,3,GEV,0.0546180709302798,0.0060826950323221995,0.6666666666666666,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,3,KDE,0.0346492459798136,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,3,TAIL,-0.0590051899128439,0.004098681881233156,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,4,EMP,0.0472390459207194,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,4,EVENT-EMP,0.0472390459207194,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,4,GEV,0.2229595496722477,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,4,KDE,0.1094259551620668,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,4,TAIL,0.0437794387935077,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,5,EMP,-0.082197347269694,0.008609909162194,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,5,EVENT-EMP,-0.082197347269694,0.006771117893440778,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,5,GEV,-0.0636646642372635,0.006516624856259011,0.6666666666666666,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,5,KDE,-0.0376880632469235,0.0054585168003894215,0.4444444444444444,PASS
SCALE_SHIFT_8000_TO_12000,5,TAIL,-0.0893559564714391,0.006530685635539567,0.6666666666666666,PASS
SCALE_SHIFT_8000_TO_12000,6,EMP,-0.3640230630949557,0.028765113799255393,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,6,EVENT-EMP,-0.3640230630949557,0.022661919519108245,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,6,GEV,-0.3133358135680065,0.024669879295172514,0.5555555555555556,PASS_LMOM_FINITE_MEAN
SCALE_SHIFT_8000_TO_12000,6,KDE,-0.3328633918726118,0.02299901843394316,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,6,TAIL,-0.2497415902619521,0.0253482665367559,0.5555555555555556,PASS
SCALE_SHIFT_8000_TO_12000,7,EMP,0.1963649990950494,0.0054585168003894215,0.4444444444444444,PASS
