replication_id,method_id,information_set,q99_relative_error,mean_relative_error,estimated_q99_kw,fit_status
529,EVENT-EMP,event_level,-0.19277761842225441,0.0027690226961953001,214449.12763526241,PASS
529,GEV,monthly_maxima,-0.060448611961774097,-0.0038218007289032999,249604.04980283839,PASS_LMOM_FINITE_MEAN
529,KDE,monthly_maxima,-0.1443549416936018,-0.0038218007284725,227313.24168761011,PASS
529,EMP,monthly_maxima,-0.19277761842225441,-0.0038218007284995998,214449.12763526241,PASS
530,TAIL,event_level,-0.078292350504914399,-0.0210574111062161,244863.62851168323,PASS
530,EVENT-EMP,event_level,-0.096805241418429902,-0.022094598784032801,239945.43818766059,PASS
530,GEV,monthly_maxima,0.0069283370003486999,-0.036488544697112303,267503.61286922899,PASS_LMOM_FINITE_MEAN
530,KDE,monthly_maxima,-0.049418100495909403,-0.0364869357515075,252534.44868078089,PASS
530,EMP,monthly_maxima,-0.096805241418429902,-0.036486935756819099,239945.43818766059,PASS
531,TAIL,event_level,-0.1001966761724518,-0.024060614657228498,239044.45942266352,PASS
531,EVENT-EMP,event_level,-0.19201179335086829,-0.0127314782871224,214652.57902886599,PASS
531,GEV,monthly_maxima,0.089281079859110796,-0.0069319324984297003,289381.69041945075,PASS_LMOM_FINITE_MEAN
531,KDE,monthly_maxima,-0.1101522639410399,-0.0069228372961584001,236399.62800966785,PASS
531,EMP,monthly_maxima,-0.19201179335086829,-0.0069228372978424003,214652.57902886599,PASS
532,TAIL,event_level,-0.1021880575099299,-0.026467340727504299,238515.42306247659,PASS
532,EVENT-EMP,event_level,-0.1634795126067069,-0.026488769316111101,222232.55061373519,PASS
532,GEV,monthly_maxima,-0.14552354825832309,-0.0064958237616563998,227002.78615011188,PASS_LMOM_FINITE_MEAN
532,KDE,monthly_maxima,-0.12517740774595729,-0.0064958237616567997,232408.0030806599,PASS
532,EMP,monthly_maxima,-0.1634795126067069,-0.0064958237616566002,222232.55061373519,PASS
533,TAIL,event_level,-0.1207933482681368,-0.030528156767661501,233572.68551758904,PASS
533,EVENT-EMP,event_level,-0.15388997645152991,-0.027926110850239699,224780.13565329404,PASS
