comparison_type,one_to_one_matching,mode_left,mode_right,pair_rank_within_mode_pair,method_id,cell_left,cell_right,relative_margin_gap,left_action_accuracy,left_absolute_regret_mean_cny,left_absolute_regret_p95_cny,left_regret_over_oracle_mean,left_regret_over_capacity_mean,left_d_mv_mean,right_action_accuracy,right_absolute_regret_mean_cny,right_absolute_regret_p95_cny,right_regret_over_oracle_mean,right_regret_over_capacity_mean,right_d_mv_mean
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,5,EMP,A120_U440,A120_U560,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.718,39453.13916292935,85016.21688669475,0.007477758214532841,0.006624227315502267,9.970385142564455
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,5,EVENT-EMP,A120_U440,A120_U560,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.727,32840.33850950708,60408.2708125161,0.006224399788401325,0.005513930501363566,9.574897582962718
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,5,GEV,A120_U440,A120_U560,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.678,36116.32861860028,60408.2708125161,0.006845315195102798,0.006063972998016428,9.833678945625858
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,5,KDE,A120_U440,A120_U560,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.418,46082.40842427113,60408.2708125161,0.008734238021390065,0.007737289227799017,11.498316237115208
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,5,TAIL,A120_U440,A120_U560,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.724,26289.994812406843,60408.2708125161,0.004982879153332848,0.004414120281825182,9.094814330044231
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,6,EMP,A120_U440,A120_U580,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.716,54527.66293706026,190358.59195435102,0.010334910937327973,0.009482230616146708,9.970385142564455
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,6,EVENT-EMP,A120_U440,A120_U580,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.724,44038.565134062905,85792.45824349608,0.008346857795713812,0.007658201509340078,9.574897582962718
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,6,GEV,A120_U440,A120_U580,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.675,51736.71106774669,152955.7885297287,0.009805927345402915,0.00899689073840531,9.833678945625858
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,6,KDE,A120_U440,A120_U580,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.418,64107.793086212565,474444.9980761418,0.01215068272226187,0.011148192414506165,11.498316237115208
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,6,TAIL,A120_U440,A120_U580,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.724,38303.63191459586,60408.2708125161,0.007259886140186793,0.006660910291890386,9.094814330044231
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,7,EMP,A120_U440,A120_U600,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.691,66312.42739314414,282761.3280466851,0.012568538503790886,0.011929213516197835,9.970385142564455
