prefix_replications,method_id,cell_id,metric,estimate,mcse,normal_ci95_low,normal_ci95_high,replications
800,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.5825,0.017446279067945856,0.5483052930268262,0.6166947069731739,800
1000,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.577,0.015630589090476255,0.5463640453826665,0.6076359546173334,1000
100,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.6,0.0492365963917331,0.5034962710722031,0.6965037289277969,100
200,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.625,0.03431856376795913,0.5577356150148001,0.6922643849851999,200
400,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.6175,0.024330316186073,0.569812580275297,0.6651874197247031,400
600,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.6166666666666667,0.019865528271455254,0.5777302312546144,0.655603102078719,600
800,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.60125,0.01732225801254896,0.567298374295404,0.6352016257045959,800
1000,GEV,BASE_ACTUAL_NEAR,action_accuracy,0.605,0.015466551464829328,0.5746855591289345,0.6353144408710655,1000
100,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.52,0.05021167315686782,0.42158512061253905,0.618414879387461,100
200,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.495,0.035442288003096976,0.4255331155139299,0.5644668844860701,200
400,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.5175,0.025015972341295295,0.4684686942110612,0.5665313057889387,400
600,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.5283333333333333,0.020396619176391666,0.48835595974760565,0.5683107069190609,600
800,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.535,0.017645337838485632,0.5004151378365682,0.5695848621634318,800
1000,GEV,BASE_CAPACITY_NEAR,action_accuracy,0.531,0.015788865959538965,0.5000538227193037,0.5619461772806964,1000
100,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,100
200,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,200
400,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,0.99,0.004981167541368988,0.9802369116189168,0.9997630883810832,400
600,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,0.9933333333333333,0.0033249756101939067,0.9868163811373533,0.9998502855293133,600
800,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,0.99375,0.00278807973536688,0.9882853637186809,0.9992146362813191,800
1000,GEV,STRESS_ACTUAL_CLEAR,action_accuracy,0.994,0.002443352199329841,0.9892110296893135,0.9987889703106865,1000
100,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.47,0.05016135580465918,0.37168374262286796,0.568316257377132,100
200,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.48,0.03541569365103442,0.4105852404439725,0.5494147595560275,200
400,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.46,0.024951079956135037,0.41109588328597535,0.5089041167140247,400
600,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.49833333333333335,0.020429332663897536,0.45829184131209416,0.5383748253545725,600
800,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.49875,0.017688673164567875,0.464080200597447,0.533419799402553,800
1000,GEV,STRESS_ACTUAL_NEAR,action_accuracy,0.506,0.015818160898606833,0.4749964046387306,0.5370035953612694,1000
100,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.95,0.021904291355759036,0.9070675889427122,0.9929324110572877,100
200,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.945,0.016161092305986408,0.9133242590802666,0.9766757409197333,200
400,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.955,0.01037818707276436,0.9346587533373818,0.9753412466626181,400
600,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.945,0.009315020989064449,0.9267425588614336,0.9632574411385663,600
800,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.9375,0.008563518833897847,0.9207155030855603,0.9542844969144397,800
1000,GEV,STRESS_CAPACITY_CLEAR,action_accuracy,0.935,0.007799733061832043,0.9197125231988093,0.9502874768011909,1000
100,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.47,0.05016135580465918,0.37168374262286796,0.568316257377132,100
200,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.445,0.03522897106090454,0.3759512167206271,0.5140487832793729,200
400,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.4325,0.024802162065186362,0.3838877623522347,0.4811122376477653,400
600,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.44333333333333336,0.02029781968475283,0.4035496067512178,0.4831170599154489,600
800,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.4625,0.01763890873542694,0.4279277388785632,0.4970722611214368,800
1000,GEV,STRESS_CAPACITY_NEAR,action_accuracy,0.457,0.0157606915901365,0.4261090444833325,0.48789095551666756,1000
100,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.55,0.05,0.45200000000000007,0.648,100
200,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.57,0.03509498954918332,0.5012138204836006,0.6387861795163993,200
400,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.5925,0.024599231297972052,0.5442855066559749,0.6407144933440252,400
600,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.5966666666666667,0.02004400649204181,0.5573804139422647,0.6359529193910687,600
800,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.58125,0.01745361947895465,0.547040905821249,0.6154590941787511,800
1000,GEV,STRESS_CONTRACT_CLEAR,action_accuracy,0.576,0.015635487471405182,0.5453544445560458,0.6066455554439542,1000
100,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.49,0.05024183937956913,0.3915259948160445,0.5884740051839554,100
200,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.525,0.03539972744976418,0.4556165341984622,0.5943834658015378,200
